x	y	xlabel	ylabel	val	tenders	orders
1	1	Armada De Chile	Abatte Officity	0		
2	1	Carabineros De Chile	Abatte Officity	0		
3	1	Centro Asistencial Norte De Antofagasta	Abatte Officity	0		
4	1	Complejo Asistencial Dr. Victor Ríos Ruíz	Abatte Officity	0		
5	1	Comprador	Abatte Officity	0		
6	1	Consejo De Defensa Del Estado	Abatte Officity	0		
7	1	Consejo Nacional De La Cultura Y Las Artes	Abatte Officity	0		
8	1	Corporacion Administrativa Del Poder Judicial	Abatte Officity	0		
9	1	Corporación Nacional De Desarrollo Indígena - Conadi	Abatte Officity	0		
10	1	Corporación Nacional Forestal - Conaf	Abatte Officity	0		
11	1	Defensoría Penal Pública	Abatte Officity	0		
12	1	Dirección De Aeropuertos - Moptt	Abatte Officity	0		
13	1	Dirección De Arquitectura - Mop	Abatte Officity	0		
14	1	Dirección De Bibliotecas, Archivos Y Museos	Abatte Officity	0		
15	1	Dirección De Obras Hidráulicas - Moptt	Abatte Officity	0		
16	1	Dirección De Planeamiento - Moptt	Abatte Officity	0		
17	1	Dirección Del Trabajo	Abatte Officity	0		
18	1	Ejército De Chile	Abatte Officity	0		
19	1	Fondo De Solidaridad E Inversión Social - Fosis	Abatte Officity	0		
20	1	Fondo Nacional De Salud - Fonasa	Abatte Officity	0		
21	1	Fuerza Aérea De Chile	Abatte Officity	0		
22	1	Gendarmería De Chile	Abatte Officity	0		
23	1	Gobernación Provincial De Huasco	Abatte Officity	0		
24	1	Gobernación Provincial De Linares	Abatte Officity	0		
25	1	Gobernación Provincial De Malleco	Abatte Officity	0		
26	1	Gobernación Provincial De Talca	Abatte Officity	0		
27	1	Hospital  Lonquimay	Abatte Officity	0		
28	1	Hospital Angol	Abatte Officity	0		
29	1	Hospital Carlos Cisternas De Calama	Abatte Officity	0		
30	1	Hospital Contulmo	Abatte Officity	0		
31	1	Hospital Curanilahue	Abatte Officity	0		
32	1	Hospital De Chimbarongo	Abatte Officity	0		
33	1	Hospital De Purén	Abatte Officity	0		
34	1	Hospital Dr. Abraham Godoy Peña	Abatte Officity	0		
35	1	Hospital Dr. Exequiel González Cortes	Abatte Officity	0		
36	1	Hospital Ovalle	Abatte Officity	0		
37	1	Hospital Padre Alberto Hurtado	Abatte Officity	0		
38	1	Hospital Pedro Morales C.	Abatte Officity	0		
39	1	Hospital Quilpué	Abatte Officity	0		
40	1	Hospital Regional Rancagua - Hrr	Abatte Officity	0		
41	1	Hospital Río Bueno	Abatte Officity	0		
42	1	Hospital Santa Filomena De Graneros	Abatte Officity	0		
43	1	Hospital Valdivia	Abatte Officity	0		
44	1	Hospital Vicuña	Abatte Officity	0		
45	1	I.  Municipalidad Curaco  De Velez	Abatte Officity	0		
46	1	I. Municipalidad De Chillán	Abatte Officity	0		
47	1	I. Municipalidad De Coquimbo	Abatte Officity	0		
48	1	I. Municipalidad De Coronel	Abatte Officity	0		
49	1	I. Municipalidad De Independencia	Abatte Officity	0		
50	1	I. Municipalidad De La Pintana	Abatte Officity	1609		2274-1265-CM14
51	1	I. Municipalidad De Puerto Varas	Abatte Officity	0		
52	1	I. Municipalidad De Talagante	Abatte Officity	0		
53	1	I. Municipalidad De Talca	Abatte Officity	0		
54	1	I. Municipalidad Pozo Almonte	Abatte Officity	0		
55	1	I.Municipalidad De Concepcion	Abatte Officity	0		
56	1	I.Municipalidad De Concon	Abatte Officity	0		
57	1	I.Municipalidad De Mostazal	Abatte Officity	0		
58	1	I.Municipalidad De Viña Del Mar	Abatte Officity	0		
59	1	Ilustre Municipalidad  De Sagrada Familia	Abatte Officity	0		
60	1	Ilustre Municipalidad De Angol	Abatte Officity	0		
61	1	Ilustre Municipalidad De Bulnes	Abatte Officity	0		
62	1	Ilustre Municipalidad De Cabildo	Abatte Officity	0		
63	1	Ilustre Municipalidad De Calbuco	Abatte Officity	0		
64	1	Ilustre Municipalidad De Canela	Abatte Officity	0		
65	1	Ilustre Municipalidad De Catemu	Abatte Officity	0		
66	1	Ilustre Municipalidad De Cauquenes	Abatte Officity	0		
67	1	Ilustre Municipalidad De Cerrillos	Abatte Officity	0		
68	1	Ilustre Municipalidad De Cobquecura	Abatte Officity	0		
69	1	Ilustre Municipalidad De Colbún	Abatte Officity	0		
70	1	Ilustre Municipalidad De Collipulli	Abatte Officity	0		
71	1	Ilustre Municipalidad De Curanilahue	Abatte Officity	0		
72	1	Ilustre Municipalidad De Curarrehue	Abatte Officity	0		
73	1	Ilustre Municipalidad De Diego De Almagro	Abatte Officity	0		
74	1	Ilustre Municipalidad De El Bosque	Abatte Officity	0		
75	1	Ilustre Municipalidad De El Carmen	Abatte Officity	0		
76	1	Ilustre Municipalidad De Ercilla	Abatte Officity	0		
77	1	Ilustre Municipalidad De Florida	Abatte Officity	0		
78	1	Ilustre Municipalidad De Freire	Abatte Officity	0		
79	1	Ilustre Municipalidad De Fresia	Abatte Officity	0		
80	1	Ilustre Municipalidad De Futaleufu	Abatte Officity	0		
81	1	Ilustre Municipalidad De Graneros	Abatte Officity	0		
82	1	Ilustre Municipalidad De Guaitecas	Abatte Officity	0		
83	1	Ilustre Municipalidad De La Calera	Abatte Officity	0		
84	1	Ilustre Municipalidad De La Cisterna	Abatte Officity	0		
85	1	Ilustre Municipalidad De La Granja	Abatte Officity	0		
86	1	Ilustre Municipalidad De La Serena	Abatte Officity	0		
87	1	Ilustre Municipalidad De Lanco	Abatte Officity	0		
88	1	Ilustre Municipalidad De Linares	Abatte Officity	0		
